user_id, gender, age, country, subscription_type, listening_time, songs_played_per_day, skip_rate, device_type, ads_listened_per_week, offline_listening, is_churned
      1, Female,  54, CA     , Free             ,             26,                   23,      0.2 , Desktop    ,                    31,                 0, Yes
      2, Other ,  33, DE     , Family           ,            141,                   62,      0.34, Web        ,                     0,                 1, No
      3, Male  ,  38, AU     , Premium          ,            199,                   38,      0.04, Mobile     ,                     0,                 1, Yes
      4, Female,  22, CA     , Student          ,             36,                    2,      0.31, Mobile     ,                     0,                 1, No
      5, Other ,  29, US     , Family           ,            250,                   57,      0.36, Mobile     ,                     0,                 1, Yes
      6, Female,  17, AU     , Free             ,            219,                   35,      0.46, Desktop    ,                    13,                 0, No
      7, Female,  39, UK     , Premium          ,            289,                   44,      0.38, Desktop    ,                     0,                 1, No
      8, Female,  41, UK     , Free             ,            210,                   68,      0.11, Mobile     ,                     5,                 0, No
      9, Other ,  55, DE     , Student          ,             50,                   66,      0.29, Web        ,                     0,                 1, No
     10, Male  ,  44, DE     , Free             ,            278,                   94,      0.38, Mobile     ,                    44,                 0, No
     11, Other ,  33, DE     , Free             ,             86,                   44,      0.11, Web        ,                    37,                 0, No
     12, Other ,  24, CA     , Free             ,            113,                   24,      0.56, Desktop    ,                    39,                 0, Yes
     13, Female,  37, IN     , Family           ,             24,                   86,      0.11, Desktop    ,                     0,                 1, No
     14, Female,  53, US     , Premium          ,             45,                   47,      0.6 , Web        ,                     0,                 1, No
     15, Other ,  37, IN     , Family           ,            114,                   13,      0.44, Web        ,                     0,                 1, Yes
     16, Male  ,  25, FR     , Student          ,            230,                   25,      0.26, Desktop    ,                     0,                 1, No
     17, Female,  36, DE     , Student          ,            181,                   93,      0.23, Mobile     ,                     0,                 1, No
     18, Male  ,  58, US     , Family           ,            120,                    8,      0.41, Desktop    ,                     0,                 1, No
     19, Female,  34, DE     , Family           ,            160,                   32,      0.35, Mobile     ,                     0,                 1, No
     20, Male  ,  35, UK     , Student          ,            281,                   51,      0.35, Desktop    ,                     0,                 1, No
     21, Female,  33, AU     , Student          ,            138,                   60,      0.6 , Web        ,                     0,                 1, No
     22, Male  ,  49, AU     , Premium          ,             20,                    7,      0.45, Desktop    ,                     0,                 1, No
     23, Female,  45, PK     , Family           ,            138,                   95,      0.1 , Desktop    ,                     0,                 1, No
